datetime;open;high;low;close;volume
2026-05-18;172.95000;195.27000;135.020004;190.56000;317319400
2026-05-25;211.38000;242.66000;204;224.34000;211454900
2026-06-01;217.27000;284.57999;181.81000;182.53999;297432800
2026-06-08;210.62000;242.39999;157.56000;234.67999;410771500
2026-06-15;265.98999;286.14999;226;279.29001;193133100
2026-06-22;299.26001;302;211.13000;215.60001;273507000
2026-06-29;216.36000;272;168.88000;181.47000;236890800
2026-07-06;197.21001;210.80000;150.080002;192.25999;275046600
2026-07-13;174.61000;188.42999;116.47000;135.47000;351118400
2026-07-20;143.52000;165.75;132.55000;136.81000;284995600
2026-07-27;140.64999;148.020004;91.5;114.72000;578269200
2026-08-03;106.15000;144.34000;102.089996;140.25;345008700
